country_x,year_x,A005,A104,E040,A030,A165,G007_18_B,G007_33_B,G007_34_B,G007_35_B,G007_36_B,D078,D059,C001,E233,F199,A124_02,A124_06,A105,E124,E069_40,C002,A040,A098,E069_01,F028,F028B,F034,F050,F063,F203,F202,E220,Country,Code,Democracy score,gdp_per_capita,gdp_per_capita_std,country_y,iso3,year_y,hdi
AND,2018,1.5249003984063745,0.1344621513944223,4.572709163346613,0.4402390438247012,1.74402390438247,2.2798804780876494,1.7330677290836654,2.941235059760956,2.479083665338645,2.4073705179282867,3.346613545816733,3.3366533864541834,2.091633466135458,9.0,1.203187250996016,0.0388446215139442,0.0268924302788844,0.2191235059760956,1.7828685258964143,2.3276892430278884,1.9163346613545815,0.1035856573705179,0.2171314741035856,2.99601593625498,6.495019920318725,5.932270916334661,1.701195219123506,0.6424302788844621,4.7629482071713145,3.25199203187251,3.2768924302788847,6.138446215139442,Andorra,,,,,,,,
AND,2018,1.5249003984063745,0.1344621513944223,4.572709163346613,0.4402390438247012,1.74402390438247,2.2798804780876494,1.7330677290836654,2.941235059760956,2.479083665338645,2.4073705179282867,3.346613545816733,3.3366533864541834,2.091633466135458,9.0,1.203187250996016,0.0388446215139442,0.0268924302788844,0.2191235059760956,1.7828685258964143,2.3276892430278884,1.9163346613545815,0.1035856573705179,0.2171314741035856,2.99601593625498,6.495019920318725,5.932270916334661,1.701195219123506,0.6424302788844621,4.7629482071713145,3.25199203187251,3.2768924302788847,6.138446215139442,Andorra,,,,,,,,
AND,2018,1.5249003984063745,0.1344621513944223,4.572709163346613,0.4402390438247012,1.74402390438247,2.2798804780876494,1.7330677290836654,2.941235059760956,2.479083665338645,2.4073705179282867,3.346613545816733,3.3366533864541834,2.091633466135458,9.0,1.203187250996016,0.0388446215139442,0.0268924302788844,0.2191235059760956,1.7828685258964143,2.3276892430278884,1.9163346613545815,0.1035856573705179,0.2171314741035856,2.99601593625498,6.495019920318725,5.932270916334661,1.701195219123506,0.6424302788844621,4.7629482071713145,3.25199203187251,3.2768924302788847,6.138446215139442,Andorra,,,,,,,,
ARG,2017,1.4909405815469925,0.0818873249086824,4.635823853064754,0.564639690913971,1.8002495228372275,1.9988972631850823,1.9781536485518785,2.8698495134661406,2.3541103849895704,2.431375189353569,3.167680100554978,3.1063603603651933,2.040868638025901,8.56471623029758,1.5191939132018544,0.0274077563612945,0.0412348015437691,0.1275882920583556,2.5185951933476467,2.203554243949898,1.5340789683786804,0.2395099616238575,0.4996859925152321,2.334507289824196,5.166068851265787,4.248210327725661,1.298510423594955,0.9346383833466428,7.444774218574085,2.9741274430757043,2.6970946201726584,6.568820192505348,Argentina,ARG,6.96,14613.0356486571,-0.0020626938269877,Argentina,ARG,2017.0,0.853
ARG,2017,1.4909405815469925,0.0818873249086824,4.635823853064754,0.564639690913971,1.8002495228372275,1.9988972631850823,1.9781536485518785,2.8698495134661406,2.3541103849895704,2.431375189353569,3.167680100554978,3.1063603603651933,2.040868638025901,8.56471623029758,1.5191939132018544,0.0274077563612945,0.0412348015437691,0.1275882920583556,2.5185951933476467,2.203554243949898,1.5340789683786804,0.2395099616238575,0.4996859925152321,2.334507289824196,5.166068851265787,4.248210327725661,1.298510423594955,0.9346383833466428,7.444774218574085,2.9741274430757043,2.6970946201726584,6.568820192505348,Argentina,ARG,6.96,14613.0356486571,-0.0020626938269877,Argentina,ARG,2017.0,0.853
ARG,2017,1.4909405815469925,0.0818873249086824,4.635823853064754,0.564639690913971,1.8002495228372275,1.9988972631850823,1.9781536485518785,2.8698495134661406,2.3541103849895704,2.431375189353569,3.167680100554978,3.1063603603651933,2.040868638025901,8.56471623029758,1.5191939132018544,0.0274077563612945,0.0412348015437691,0.1275882920583556,2.5185951933476467,2.203554243949898,1.5340789683786804,0.2395099616238575,0.4996859925152321,2.334507289824196,5.166068851265787,4.248210327725661,1.298510423594955,0.9346383833466428,7.444774218574085,2.9741274430757043,2.6970946201726584,6.568820192505348,Argentina,ARG,6.96,14613.0356486571,-0.0020626938269877,Argentina,ARG,2017.0,0.853
ARM,2021,1.3187105366011531,0.1742306139524521,4.0432653820288005,0.7126404678433945,1.9149945548079292,2.197733778774155,2.0045380694344352,3.146722554668024,3.16720430416216,2.935537170204685,2.569029991625069,2.3879657089260973,1.527377465664109,8.507815467587342,1.3244235283404548,0.2809000637316425,0.164593582205491,0.1766757512835948,2.807444526137365,2.492332144838938,1.2710227000176544,0.3352189689011108,0.2739435814137493,1.930028110596479,5.352255258102538,3.191178733081588,1.1893399236237787,0.9471781078910824,9.134090757633986,1.6566263313006753,2.3328694431793537,7.409937325937143,Armenia,ARM,5.49,4972.78320361917,-0.4720196155756234,Armenia,ARM,2021.0,0.774
ARM,2021,1.3187105366011531,0.1742306139524521,4.0432653820288005,0.7126404678433945,1.9149945548079292,2.197733778774155,2.0045380694344352,3.146722554668024,3.16720430416216,2.935537170204685,2.569029991625069,2.3879657089260973,1.527377465664109,8.507815467587342,1.3244235283404548,0.2809000637316425,0.164593582205491,0.1766757512835948,2.807444526137365,2.492332144838938,1.2710227000176544,0.3352189689011108,0.2739435814137493,1.930028110596479,5.352255258102538,3.191178733081588,1.1893399236237787,0.9471781078910824,9.134090757633986,1.6566263313006753,2.3328694431793537,7.409937325937143,Armenia,ARM,5.49,4972.78320361917,-0.4720196155756234,Armenia,ARM,2021.0,0.774
ARM,2011,1.3544872484784491,0.0330041106451919,3.87187602621323,0.8194823379731313,1.8867728894651907,2.1634199166105867,2.0478645984368877,3.2280548567759,3.340881805429593,3.04142566015149,2.286996618773105,2.2105387631120057,1.5371785072108015,7.85427808071828,1.5650896706913755,0.3180272100170067,0.1842009526061498,0.0223271126023549,3.0654261730170256,2.499408856725211,1.2691803996074629,0.3808250562570316,0.0402706536062028,1.809578376415509,4.815871800132565,3.7143039023405233,1.1186929313944338,0.9686601914347392,8.499245153972193,1.7650787585078411,2.62973371085812,6.749809016106328,Armenia,ARM,4.09,3462.68177840431,-0.5456362165275511,Armenia,ARM,2011.0,0.743
AUS,2018,1.89895429474507,0.4034798408662305,4.303490229393683,0.474480831956151,1.5103592643515396,2.150789794219821,1.6575736746259877,2.6222117210024853,2.2454674811815525,2.2061388507223443,3.39224952079343,3.3087040049786567,2.0815984782799566,8.710733934627184,1.3311890411532905,0.0385342101499666,0.0886743018783959,0.4569821201773498,1.9620017898577204,2.4029303483045723,1.6791928674346468,0.1322977492772981,0.5358110148544327,2.8938427353777776,6.330185465849323,5.788423000275233,1.8349278415378516,0.5691727621613303,4.539739158319481,3.400799529741196,3.2588664107724914,4.046784955993607,Australia,AUS,9.09,57273.5204750079,2.0776121117446955,Australia,AUS,2018.0,0.941
