Country,Year,democracy_score,work_ethic,trust,equality,religion,country,gdp_per_capita,gdp_per_capita_std,gender_beat_wife,gender_business_exec,gender_job_rights,gender_political_leaders,gender_rights,hdi,religion_against_science,religion_attendance,religion_child,religion_confidence,religion_god,religion_god_importance,religion_identification,religion_only_religion,religion_pray,religion_right,tolerance_chairty_confidence,tolerance_charitable_org,tolerance_human_rights,tolerance_immigrant_work,tolerance_immigrants,tolerance_other_race,trust_first_meet,trust_most_people,trust_neighborhood,trust_other_national,trust_other_religion,trust_personally,work_child,work_importance,work_membership_pro_org,work_success
Argentina,2017,6.96,1.6933228626086,2.2387725870639117,2.259207136189559,3.390626171170889,ARG,14613.0356486571,-0.0020626938269877,1.5191939132018544,3.167680100554978,2.040868638025901,3.1063603603651933,8.56471623029758,0.853,6.568820192505348,5.166068851265787,0.2395099616238575,2.334507289824196,0.9346383833466428,7.444774218574085,1.298510423594955,2.9741274430757043,4.248210327725661,2.6970946201726584,2.203554243949898,0.1275882920583556,2.5185951933476467,1.5340789683786804,0.0412348015437691,0.0274077563612945,2.8698495134661406,1.8002495228372275,1.9988972631850823,2.431375189353569,2.3541103849895704,1.9781536485518785,0.564639690913971,1.4909405815469925,0.0818873249086824,4.635823853064754
Argentina,2017,6.96,1.6933228626086,2.2387725870639117,2.259207136189559,3.390626171170889,ARG,14613.0356486571,-0.0020626938269877,1.5191939132018544,3.167680100554978,2.040868638025901,3.1063603603651933,8.56471623029758,0.853,6.568820192505348,5.166068851265787,0.2395099616238575,2.334507289824196,0.9346383833466428,7.444774218574085,1.298510423594955,2.9741274430757043,4.248210327725661,2.6970946201726584,2.203554243949898,0.1275882920583556,2.5185951933476467,1.5340789683786804,0.0412348015437691,0.0274077563612945,2.8698495134661406,1.8002495228372275,1.9988972631850823,2.431375189353569,2.3541103849895704,1.9781536485518785,0.564639690913971,1.4909405815469925,0.0818873249086824,4.635823853064754
Argentina,2017,6.96,1.6933228626086,2.2387725870639117,2.259207136189559,3.390626171170889,ARG,14613.0356486571,-0.0020626938269877,1.5191939132018544,3.167680100554978,2.040868638025901,3.1063603603651933,8.56471623029758,0.853,6.568820192505348,5.166068851265787,0.2395099616238575,2.334507289824196,0.9346383833466428,7.444774218574085,1.298510423594955,2.9741274430757043,4.248210327725661,2.6970946201726584,2.203554243949898,0.1275882920583556,2.5185951933476467,1.5340789683786804,0.0412348015437691,0.0274077563612945,2.8698495134661406,1.8002495228372275,1.9988972631850823,2.431375189353569,2.3541103849895704,1.9781536485518785,0.564639690913971,1.4909405815469925,0.0818873249086824,4.635823853064754
Armenia,2021,5.49,1.56221175010645,2.561121738675231,2.137234630032523,3.3478722960247738,ARM,4972.78320361917,-0.4720196155756234,1.3244235283404548,2.569029991625069,1.527377465664109,2.3879657089260973,8.507815467587342,0.774,7.409937325937143,5.352255258102538,0.3352189689011108,1.930028110596479,0.9471781078910824,9.134090757633986,1.1893399236237787,1.6566263313006753,3.191178733081588,2.3328694431793537,2.492332144838938,0.1766757512835948,2.807444526137365,1.2710227000176544,0.164593582205491,0.2809000637316425,3.146722554668024,1.9149945548079292,2.197733778774155,2.935537170204685,3.16720430416216,2.0045380694344352,0.7126404678433945,1.3187105366011531,0.1742306139524521,4.0432653820288005
Armenia,2021,5.49,1.56221175010645,2.561121738675231,2.137234630032523,3.3478722960247738,ARM,4972.78320361917,-0.4720196155756234,1.3244235283404548,2.569029991625069,1.527377465664109,2.3879657089260973,8.507815467587342,0.774,7.409937325937143,5.352255258102538,0.3352189689011108,1.930028110596479,0.9471781078910824,9.134090757633986,1.1893399236237787,1.6566263313006753,3.191178733081588,2.3328694431793537,2.492332144838938,0.1766757512835948,2.807444526137365,1.2710227000176544,0.164593582205491,0.2809000637316425,3.146722554668024,1.9149945548079292,2.197733778774155,2.935537170204685,3.16720430416216,2.0045380694344352,0.7126404678433945,1.3187105366011531,0.1742306139524521,4.0432653820288005
Armenia,2011,4.09,1.5197124308275005,2.618069954478275,2.0738774859164346,3.245179889741928,ARM,3462.68177840431,-0.5456362165275511,1.5650896706913755,2.286996618773105,1.5371785072108015,2.2105387631120057,7.85427808071828,0.743,6.749809016106328,4.815871800132565,0.3808250562570316,1.809578376415509,0.9686601914347392,8.499245153972193,1.1186929313944338,1.7650787585078411,3.7143039023405233,2.62973371085812,2.499408856725211,0.0223271126023549,3.0654261730170256,1.2691803996074629,0.1842009526061498,0.3180272100170067,3.2280548567759,1.8867728894651907,2.1634199166105867,3.04142566015149,3.340881805429593,2.0478645984368877,0.8194823379731313,1.3544872484784491,0.0330041106451919,3.87187602621323
Australia,2018,9.09,1.7701012992402834,2.0654234643506215,2.3138900561486513,3.279503960930559,AUS,57273.5204750079,2.0776121117446955,1.3311890411532905,3.39224952079343,2.0815984782799566,3.3087040049786567,8.710733934627184,0.941,4.046784955993607,6.330185465849323,0.1322977492772981,2.8938427353777776,0.5691727621613303,4.539739158319481,1.8349278415378516,3.400799529741196,5.788423000275233,3.2588664107724914,2.4029303483045723,0.4569821201773498,1.9620017898577204,1.6791928674346468,0.0886743018783959,0.0385342101499666,2.6222117210024853,1.5103592643515396,2.150789794219821,2.2061388507223443,2.2454674811815525,1.6575736746259877,0.474480831956151,1.89895429474507,0.4034798408662305,4.303490229393683
Australia,2018,9.09,1.7701012992402834,2.0654234643506215,2.3138900561486513,3.279503960930559,AUS,57273.5204750079,2.0776121117446955,1.3311890411532905,3.39224952079343,2.0815984782799566,3.3087040049786567,8.710733934627184,0.941,4.046784955993607,6.330185465849323,0.1322977492772981,2.8938427353777776,0.5691727621613303,4.539739158319481,1.8349278415378516,3.400799529741196,5.788423000275233,3.2588664107724914,2.4029303483045723,0.4569821201773498,1.9620017898577204,1.6791928674346468,0.0886743018783959,0.0385342101499666,2.6222117210024853,1.5103592643515396,2.150789794219821,2.2061388507223443,2.2454674811815525,1.6575736746259877,0.474480831956151,1.89895429474507,0.4034798408662305,4.303490229393683
Australia,2018,9.09,1.7701012992402834,2.0654234643506215,2.3138900561486513,3.279503960930559,AUS,57273.5204750079,2.0776121117446955,1.3311890411532905,3.39224952079343,2.0815984782799566,3.3087040049786567,8.710733934627184,0.941,4.046784955993607,6.330185465849323,0.1322977492772981,2.8938427353777776,0.5691727621613303,4.539739158319481,1.8349278415378516,3.400799529741196,5.788423000275233,3.2588664107724914,2.4029303483045723,0.4569821201773498,1.9620017898577204,1.6791928674346468,0.0886743018783959,0.0385342101499666,2.6222117210024853,1.5103592643515396,2.150789794219821,2.2061388507223443,2.2454674811815525,1.6575736746259877,0.474480831956151,1.89895429474507,0.4034798408662305,4.303490229393683
Azerbaijan,2011,3.15,2.2120915661298217,2.7753033803930993,1.9431354782323966,3.600434758017881,AZE,7189.81869211976,-0.3639403739246937,1.8535711270031825,1.9941474400095696,1.3393958257603138,2.0786533144158645,7.006365567896641,0.735,4.948388860124643,5.782958108772822,0.1941077120714847,2.678806620580233,0.997452976434279,9.760632723935952,1.2693067765123451,2.087850361922899,5.597315848510968,2.6875275913131795,2.69507681571689,0.0263285568842907,2.130865290527421,1.2632436187494709,0.4058779114835902,0.5809647921091333,3.628066755023805,1.8429339050639184,2.546982183491725,3.020718502845097,2.975886106452407,2.6372328294816465,0.7400519416288471,1.542838279928724,0.0189559601982974,6.546520082763419
